com_id,com_code,com_name_ar,com_name_en,com_tel,com_address,com_usr_code,com_active,sec_insert_uid,sec_insert_date,sec_update_uid,sec_update_date
"107","107","ماكسى كيور","MAXI CURE","","","","1","","","",""
"108","108","هيمالايا","HIMALAYA DRUG COMPANY","","","","1","","","",""
"109","109","ساوفلون","SAUFLON","","","","1","","","",""
"110","110","ابن سينا","IBN SINA","","","","1","","","",""
"111","111","نيوتري سورس","NUTRI SOURCE CORPORATION","","","","1","","","",""
"112","112","اتش لندبيك","H LUNDBECK","","","","1","","","",""
"113","113","روها فارما","ROHA PHARMA","","","","1","","","",""
"114","114","تشيسي","CHEISI","","","","1","","","",""
"115","115","ديلانو","DELANO","","","","1","","","",""
"116","116","اجيبشان فارماسوتيكالز","EGYPTIAN PHARMACEUTICAL","","","","1","","","",""
"117","117","انجليني","ANGELINI","","","","1","","","",""
"118","118","طيبة فارم","TIBA PHARM","","","","1","","","",""
"748","940","فالكون","FALCON","","","","1","1","","1","08/12/2007 4:56:15 pm"
"749","749","ام او اتش","M O H","","","","1","1","","",""
"750","750","جلاكسو 2","GLAXO 2","","","","0","1","","1","09/01/2008 11:24:03 pm"
"751","751","ادفو كيور","Edfo Cure","","","","1","1","","",""
"752","752","اكوب فارم","Acop Pharm","","","","1","1","","",""
"753","753","نايل جروب","","","","","1","1","","",""
"754","754","ابوت مستورد","ABBOTT IMPORTED","","","","1","1","","1","08/12/2007 4:37:24 pm"
"755","755","ايزيس","Isis","","","","1","1","","",""
"756","756","مالتى مستورد","Multi Imported","","","","1","1","","",""
"757","757","داياتيكا","","","","","1","1","","",""
"758","758","العربية","elArabaya","","","","1","1","","1","20/09/2007 12:08:36 pm"
"759","759","ابتيموم","Aptemom","","","","1","1","","1","20/09/2007 6:15:38 pm"
"760","","الكون  ع","","","","","1","1","","",""
